tpep_pickup_datetime,tpep_dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
00:12.0,07:35.0,40.7372551,-73.99462128,40.74253845,-73.98586273
00:12.0,19:50.0,40.72874069,-74.00259399,40.71625137,-73.96233368
00:12.0,27:53.0,40.72850037,-74.00429535,40.74302673,-73.91917419
00:12.0,07:27.0,40.74114609,-74.00193024,40.73214722,-74.00152588
00:12.0,23:02.0,40.76274872,-73.95967102,40.76176834,-73.88101196
00:13.0,08:47.0,40.7455864,-74.00502014,40.73337555,-74.00292206
00:13.0,09:09.0,40.78720093,-73.97768402,40.77121735,-73.98941803
00:13.0,13:08.0,40.76227188,-73.98603058,40.80929184,-73.93797302
00:13.0,26:29.0,40.7793045,-73.98188019,40.71688843,-74.00417328
00:14.0,19:35.0,40.75121689,-73.94009399,40.7612648,-73.99060822
00:14.0,06:30.0,40.7387085,-73.99164581,40.73589325,-74.00546265
00:14.0,11:56.0,40.73639679,-74.00829315,40.74750519,-73.98582458
00:14.0,12:04.0,40.76652145,-73.99427795,40.76725388,-73.96233368
00:14.0,13:17.0,40.74318695,-73.98015594,40.72002792,-73.98802185
00:14.0,34:29.0,40.74269104,-74.0051651,40.71335983,-73.96733856
00:14.0,26:25.0,40.72758102,-73.98504639,40.72169876,-73.9407196
00:14.0,07:06.0,40.7598877,-73.98413086,40.75616455,-73.97148895
00:14.0,10:12.0,40.73646164,-73.98484039,40.7396965,-74.00211334
00:15.0,11:49.0,40.72774887,-73.98516083,40.77035522,-73.95423889
00:15.0,17:02.0,40.73182678,-73.98340607,40.81210709,-73.93035126
00:15.0,14:47.0,40.77790451,-73.9517746,40.7459259,-73.99074554
00:15.0,09:39.0,40.76148987,-73.97441864,40.73907089,-73.98734283
00:15.0,17:20.0,40.72867203,-73.98760986,40.7127037,-73.9896698
00:15.0,17:41.0,40.7430687,-74.00000763,40.77978134,-73.947258
00:15.0,15:23.0,40.73890686,-73.98518372,40.77594757,-73.95317841
00:15.0,14:51.0,40.72003555,-74.008461,40.72382736,-73.98212433
00:15.0,06:17.0,40.73532104,-73.99189758,40.73286819,-74.00164795
00:15.0,16:40.0,40.72613525,-73.98360443,40.73939514,-74.00144958
00:15.0,07:10.0,40.73024368,-73.98943329,40.72455597,-74.00292969
00:15.0,04:05.0,40.72386932,-73.9879837,40.73596954,-73.97924805
00:15.0,05:02.0,40.73178864,-73.98542786,40.72597122,-73.99195862
