vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,5/13/11 21:09,5/13/11 21:23,1,1.4,-73.989979,40.729282,1,N,-74.009929,40.735216,CRD,8.5,0.5,0.5,5,0,14.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:04,5/13/11 21:13,1,0,-73.99549178,40.73360623,1,N,-73.9933598,40.72433219,CRD,5.7,0.5,0.5,1.3,0,8
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:03,5/13/11 21:14,3,3.8,-74.016905,40.708168,1,N,-73.987251,40.72233,CRD,11.7,0.5,0.5,2.54,0,15.24
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:35,5/13/11 0:46,1,2.1,-73.97874,40.762827,1,N,-73.970738,40.786028,CRD,8.5,0.5,0.5,1.9,0,11.4
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:42,5/13/11 0:52,1,3.3,-73.999977,40.730274,1,N,-73.983803,40.769536,CRD,9.7,0.5,0.5,2,0,12.7
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:01,5/13/11 21:09,0,1,-73.993515,40.724598,1,N,-74.006952,40.733008,CRD,5.7,0.5,0.5,1.35,0,8.05
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:51,5/13/11 21:08,0,5.6,-74.01338,40.715522,1,N,-73.976135,40.782123,CRD,16.1,0.5,0.5,3.5,0,20.6
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:08,5/13/11 21:27,1,2.9,-73.97835,40.758699,1,N,-73.979168,40.727919,CRD,12.1,0.5,0.5,2.62,0,15.72
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:21,5/13/11 0:28,2,1.9,-74.007609,40.72575,1,N,-73.994669,40.750446,CRD,6.9,0.5,0.5,2,0,9.9
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:20,5/13/11 0:27,1,2.3,-73.997918,40.756232,1,N,-73.990864,40.734217,CRD,7.3,0.5,0.5,1,0,9.3
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:25,5/13/11 0:35,1,0,-73.99262545,40.74524811,1,N,-73.98433441,40.72501384,CRD,7.7,0.5,0.5,1.2,0,9.9
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:26,5/13/11 0:42,1,3,-74.002562,40.718501,1,N,-73.964232,40.693623,CRD,11.3,0.5,0.5,2.46,0,14.76
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:10,5/13/11 0:50,1,5.4,-73.951743,40.777777,1,N,-73.89113,40.746907,CRD,22.5,0.5,0.5,2,0,25.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:56,5/13/11 21:08,2,2,-73.99396,40.724668,1,N,-74.00578,40.743585,CRD,8.5,0.5,0.5,7,0,16.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:35,5/13/11 0:47,3,1.6,-73.988895,40.727008,1,N,-74.005353,40.739682,CRD,8.1,0.5,0.5,1.82,0,10.92
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:43,5/13/11 0:48,2,0.7,-74.003909,40.7325,1,N,-73.994165,40.726517,CRD,4.5,0.5,0.5,1,0,6.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:09,5/13/11 21:40,1,5.9,-73.957078,40.718443,1,N,-73.979877,40.753712,CRD,19.7,0.5,0.5,4.14,0,24.84
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:04,5/13/11 21:10,1,1.6,-73.962643,40.763254,1,N,-73.952626,40.779229,CRD,6.1,0.5,0.5,1,0,8.1
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:57,5/15/11 22:03,5,1.14,-73.99201,40.721852,1,,-73.985788,40.73518,CSH,5.3,0.5,0.5,0,0,6.3
,,,,,,,,,,,,,,,,,
